pájaro	bird. The bird is small
cerveza	beer. I drink cold beer
barba	beard. His beard is long
oso	bear. The bear is big
variedad	variety. We need more variety
estadísticas	statistics. The statistics are clear
estadísticamente	statistically. Statistically, it is true
receta	recipe. This recipe is easy
resistencia, vigor, fortaleza	stamina. She has great stamina
virtualmente	virtually. I am virtually ready
promesa	promise. I made a promise
fiabilidad	reliability. Reliability is important
definitivamente	definitely. I will definitely go
alternativa	alternative. We need an alternative
violar	violate. Do not violate the rule
pasión	passion. Music is my passion
tema	theme. The theme is love
esquema	scheme. This scheme is simple
ansiedad	anxiety. Anxiety can be hard
evento	event. The event starts now
precisión, exactitud	accuracy. Accuracy matters a lot
inmediato	immediate. We need immediate help
inmediatamente	immediately. Please sit down immediately
política	politics. Politics is complex
consciencia	consciousness. Consciousness is a mystery
directamente	directly. Please speak directly
mejorar	enhance. This can enhance quality
gigante	giant. A giant tree fell
gigantesco	gigantic. The house is gigantic
recientemente	recently. I moved here recently
imagen	image. This image is blurry
imágenes	images. These images are sharp
tesis	thesis. Her thesis is strong
burocracia	bureaucracy. Bureaucracy takes time
burocracias	bureaucracies. Large bureaucracies move slowly
burocrático	bureaucratic. The process is bureaucratic
tonto	dumb. That was a dumb idea
éxito	success. Hard work brings success
primordial, principal, fundamental	paramount. Safety is paramount
capacidades	capabilities. The robot has many capabilities
aunque, pero	although. Although it rained, we went
retirarse, retirar dinero	withdraw. I need to withdraw cash
retiro de dinero	withdrawal. The withdrawal was quick
arma	weapon. The weapon is dangerous
en lugar de, en vez de	instead. Have tea instead
combustible	fuel. The car needs fuel
viceversa	vice versa. It also works vice versa
trece	thirteen. I have thirteen books
treinta	thirty. She is thirty today
hito	milestone. This is a big milestone
árabe	arabian. We rode an Arabian horse
océano	ocean. The ocean is calm
género	genre. This genre is popular
físico	physicist. The physicist is famous
aspecto, apariencia	appearance. Her appearance changed
ruta, camino, trayecto	route. The horse knew the route home perfectly
hierro	iron. It was made of iron
límites, fronteras	boundaries. The boundaries of this property extend past the woods
asia	Asia. Asia is the largest continent of the world
vehículo	vehicle. He didn't hace a vehicle
motor	engine. The car's engine was invented centuries ago
